CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
39D2163672,Physician Office,REG,The Occupational Health Center - East Side,"4950 Buffalo Road, ",Erie,PENNSYLVANIA,16510-,8144527879,,,,,,,
39D2163673,Physician Office,PPM,Mlhc Ob/gyn At Lankenau Springfield,"925 Baltimore Pike, Suite 2b, ",Springfield,PENNSYLVANIA,19064-,6106427714,,,,,,,
39D2163687,Physician Office,PPM,Agh Nephrology Associates,"4815 Liberty Ave, Mellon Pavilion Ste M56, ",Pittsburgh,PENNSYLVANIA,15224-,4123593319,,,,,,,
39D2163689,Physician Office,PPM,Agh Nephrology 500 Blazier Drive,"500 Blazier Drive, Suite 200, ",Wexford,PENNSYLVANIA,15090-,4123593319,,,,,,,
42D2163283,Physician Office,REG,"Catawba Gastroenterology, Pa","108 Healthcare Drive, ",Lancaster,SOUTH CAROLINA,29720-,5012251400,,,,,,,
44D2163302,Physician Office,PPM,Ut Gynecology & Obstetrics,"109 Independence Land Suite 500, ",Lafollette,TENNESSEE,37766-,8653053840,,,,,,,
44D2163585,Physician Office,REG,Ut Erlanger Dermatology,"1635 Gunbarrel Rd Ste 400, ",Chattanooga,TENNESSEE,37421-,4237785693,,,,,,,
44D2163809,Physician Office,REG,Linda A Foster Md Pc,"1540 Appling Care Lane Ste 105, ",Cordova,TENNESSEE,38016-,9014443950,,,,,,,
45D2163301,Federally Qualified Health Center,PPM,Lone Star Circle Of Care At The University Of,"4849 Calhoun Rd Ste 1001a, Health 2 Building",Houston,TEXAS,77204-,5126860207,,,,,,,
45D2163659,Hospital,REG,Stat Specialty Hospital Of Del Rio,"2600 Veterans Blvd, ",Del Rio,TEXAS,78840-,8304983000,,4.2.19 LVM,,,,,
45D2163174,Other,REG,Trusted Medical Center Mansfield,"1710 State Hwy 287 N, ",Mansfield,TEXAS,76063-,8172254809,Parnia Safavi,4.2.19 had an analyzer to sell,,,,,
45D2163312,Other,REG,"Csl Plasma, Inc","1900 S 23rd Street, ",Mcallen,TEXAS,78503-,5619123048,,,,,,,
45D2163314,Other,REG,Rj Meridian Care,"7181 Crestway Drive, ",San Antonio,TEXAS,78239-,2105993005,,,,,,,
45D2163579,Other,REG,Medical City Er White Settlement,"9650 White Settlement Rd, ",Fort Worth,TEXAS,76108-,8173475877,,,,,,,
45D2163620,Other,REG,"Er Addison, Llc Dba Er Near Me - Addison","15240 Dallas Parkway, ",Dallas,TEXAS,75248-,4695779720,,,,,,,
45D2163656,Other,REG,Clear Choice Er,"7105 Bartlett, Suite 101, ",Laredo,TEXAS,78041-,9562065980,,,,,,,
45D2163813,Other,REG,"Medco Er Plano, Llc","3960 Legacy Dr, ",Plano,TEXAS,75023-,4693924000,,,,,,,
45D2163160,Physician Office,REG,Epidermatology Greenbriar,"4104 Greenbriar Dr #305, ",Houston,TEXAS,77098-,3468884400,,,,,,,
45D2163349,Physician Office,PPM,Baylor Scott & White Clinic - Buda Medical Center,"5330 Overpass Road Suite 100, ",Buda,TEXAS,78610-,7379996600,,,,,,,
45D2163594,Physician Office,PPM,Dermatology & Skin Cancer Surgery Center,"141 Rvg Parkway Suite 100, ",Waxahachie,TEXAS,75165-,9723909002,,,,,,,
45D2163614,Physician Office,PPM,"Austin & Reddick Dermatology, Pllc","9301 N Central Expressway Suite 470, ",Dallas,TEXAS,75231-,2145061115,,,,,,,
45D2163662,Physician Office,REG,Fernando J Otero Md Pa,"3401 N 23rd, ",Mcallen,TEXAS,78501-,9566031600,,,,,,,
45D2163744,Physician Office,REG,Houston Women's Reproductive Services,"5225 Katy Fwy, Suite 370, ",Houston,TEXAS,77007-,2815012197,,,,,,,
45D2163523,School/student Health Service,PPM,Uviversity Of Texas Rio Grande Valley,"One West University Blvd Cortez Hall 237, ",Brownsville,TEXAS,78520-,9568823891,,,,,,,
49D2163278,Physician Office,REG,Masri-Fridling Dermatology Group,"8320 Old Courthouse Road #303, ",Vienna,VIRGINIA,22182-,7035327211,,,,,,,
49D2163627,Physician Office,REG,Allergy Partners Of Northern Virginia,"11212 Waples Mill Rd, Suite 100b, ",Fairfax,VIRGINIA,22030-,7033785155,,,,,,,
50D2163487,Other,PPM,Watershed Birth Center,"1510 W Yakima, ",Yakima,WASHINGTON,98902-,5093677158,,,,,,,
50D2163206,Physician Office,ACCRED,Sound Integrated Health Llc,"3640 S Cedar St Ste M, ",Tacoma,WASHINGTON,98409-,2534780827,Atif Mian,"4.2.19 spoke to front desk staff and sent them a general email, said no lab manager since lab is not complete. Found Atif on LI and contact captured him into Copper",,,,,
52D2163515,Physician Office,PPM,"Suzanne Gehl, Md","1023 W State St, ",Hartford,WISCONSIN,53027-,4145204900,,,,,,,
52D2163824,Physician Office,REG,"Heart And Vascular Of Wisconsin, Sc","5045 W Grande Market Drive, ",Appleton,WISCONSIN,54913-,9204194407,,,,,,,
34D2163226,Independent,REG,Laboratory Corporation Of America Holdings,"864 Black Creek Road, ",Four Oaks,NORTH CAROLINA,27524-,9199633148,,,,,,,
34D2163230,Independent,REG,Laboratory Corporation Of America Holdings,"410 Canteberry Road, ",Smithfield,NORTH CAROLINA,27577-,9199345149,,,,,,,
34D2163231,Independent,REG,Laboratory Corporation Of American Holdings,"236 Butternut Lane, ",Clayton,NORTH CAROLINA,27520-,9193591011,,,,,,,
36D2163337,Independent,REG,Consultants In Laboratory Medicine,"8768 Big Cypress Circle, ",Sylvania,OHIO,43560-,4192912693,,4.2.19 LVM,,,,PTLD,Consulting
37D2163428,Independent,REG,"Neo Services, Llc","7020 S Utica Ave, ",Tulsa,OKLAHOMA,74136-,9188956657,Physician Group Lab- kyang@neo-laboratory.com,4.2.19 LVM,,,,PTLD,Recruiting
39D2163461,Independent,REG,Main Line Fertility - Tower Health,"301 South Seventh Ave, ",West Reading,PENNSYLVANIA,19611-,4842582880,,,,,,,
