,CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
70065,03D2165548,Hospital,Accreditation,Tucson Er And Hospital,4575 E Broadway Blvd,Tucson,AZ,85711,(713) 660-0557,nan,nan,nan,nan,nan,nan,nan
70066,03D2165620,Physician Office,Registration,"Palo Verde Hematology Oncology, Ltd",1488 W Elliot Road,Gilbert,AZ,85233,(480) 941-1211,nan,nan,nan,nan,nan,nan,nan
70067,03D2166142,Physician Office,Microscopy,Lillo Family Medicine,3501 N Scottsdale Rd Ste 346,Scottsdale,AZ,85251,(480) 945-3873,nan,nan,nan,nan,nan,nan,nan
70068,03D2166704,Physician Office,Microscopy,Scottsdale Personal Obgyn,"14220 N Northsight Blvd, Suite 150",Scottsdale,AZ,85260,(480) 794-1000,nan,nan,nan,nan,nan,nan,nan
70069,03D2169066,Physician Office,Registration,"Heart Rhythm & Vascular, LLC",1848 E Thomas Rd Ste 100,Phoenix,AZ,85016,(602) 456-2342,nan,nan,nan,nan,nan,nan,nan
70070,03D2169385,Physician Office,Microscopy,Atembis LLC,1338 W Forest Meadows St Ste 140,Flagstaff,AZ,86001,(928) 212-8621,nan,nan,nan,nan,nan,nan,nan
70071,03D2169835,Physician Office,Microscopy,Genesis Ob/Gyn Harmony Willcox,905 N Bowie Ave,Willcox,AZ,85643,(520) 545-0859,nan,nan,nan,nan,nan,nan,nan
70072,03D2170257,Physician Office,Microscopy,Sonoran Family Practice,171 W Central Ave,Coolidge,AZ,85128,(520) 723-7726,nan,nan,nan,nan,nan,nan,nan
70073,03D2170496,Physician Office,Registration,Arizona Dermatology Group,1000 Ainsworth Dr Ste 330,Prescott,AZ,86301,(928) 777-5802,nan,nan,nan,nan,nan,nan,nan
70074,03D2170906,Physician Office,Microscopy,Luxe Women's Health LLC,21321 E Ocotillo Rd Ste 127 #b,Queen Creek,AZ,85142,(480) 550-5117,nan,nan,nan,nan,nan,nan,nan
70075,03D2170954,Physician Office,Microscopy,Prime Direct Health,690 E Warner Rd Suite 131,Gilbert,AZ,85296,(480) 571-5934,nan,nan,nan,nan,nan,nan,nan
70076,03D2171774,Physician Office,Microscopy,Morning Star Pediatrics,3507 S Mercy Rd Ste 103,Gilbert,AZ,85297,(480) 355-8530,nan,nan,nan,nan,nan,nan,nan
70077,03D2171969,Physician Office,Registration,"Center For Complex Neurology, Eds & Pots","1010 E Mcdowell Rd, Suite 101",Phoenix,AZ,85006,(602) 900-9404,nan,nan,nan,nan,nan,nan,nan
70078,03D2172035,Physician Office,Registration,Yuma Regional Medical Center,2851 S Avenue B Suite 6,Yuma,AZ,85364,(928) 336-2131,nan,nan,nan,nan,nan,nan,nan
70079,03D2172581,Hospital,Registration,Carondelet Marana Hospital,5620 W Cortaro Farms Road,Tucson,AZ,85742,(520) 609-2509,nan,nan,nan,nan,nan,nan,nan
70080,03D2172591,Physician Office,Registration,Arizona State Urology,6525 W Sack Drive Suite E-201,Glendale,AZ,85308,(602) 337-8500,nan,nan,nan,nan,nan,nan,nan
70081,03D2172961,Physician Office,Microscopy,Wilde Desert Family Medicine,2585 E Wilcox Dr Ste A,Sierra Vista,AZ,85635,(520) 255-5475,nan,nan,nan,nan,nan,nan,nan
70082,03D2174132,Physician Office,Registration,Center For Dermatology & Plastic Surgery,520 Rose Lane,Wickenburg,AZ,85390,(480) 905-8485,nan,nan,nan,nan,nan,nan,nan
70083,03D2174133,Physician Office,Registration,Center For Dermatology & Plastic Surgery,2777 E Camelback Rd Ste 140,Phoenix,AZ,85016,(480) 905-8485,nan,nan,nan,nan,nan,nan,nan
70084,04D0468970,Physician Office,Registration,Conway Regional Medical Clinic -Russellville,108 Skyline Drive,Russellville,AR,72801,(479) 968-7170,nan,nan,nan,nan,nan,nan,nan
70085,04D0958447,Physician Office,Compliance,Searcy Dermatology Pa,1903 East Beebe-Capps,Searcy,AR,72143,(501) 279-3838,nan,nan,nan,nan,nan,nan,nan
70086,04D2030789,Physician Office,Microscopy,Baptist Health Family Clinic Hillcrest,2601 Kavanaugh Suite 6,Little Rock,AR,72205,(501) 663-4357,nan,nan,nan,nan,nan,nan,nan
70088,04D2040006,Physician Office,Microscopy,Primecare Medical Clinic-Salem,"605 Salem Road, Suite A2",Conway,AR,72034,(501) 764-1800,nan,nan,nan,nan,nan,nan,nan
70089,04D2056431,Physician Office,Microscopy,Northwest Medical Plaza - Eastside,"2158 Butterfield Coach Rd, Suite 100",Springdale,AR,72764,(479) 757-5030,nan,nan,nan,nan,nan,nan,nan
70091,04D2154145,Physician Office,Compliance,Healthstar Diagnostic Center,"120 Adcock Rd, Ste B",Hot Springs,AR,71913,(501) 651-4512,nan,nan,nan,nan,nan,nan,nan
70092,04D2154508,Physician Office,Compliance,Chi Arthritis And Rheumatology,6 Shackleford Drive,Little Rock,AR,72211,(501) 500-5001,nan,nan,nan,nan,nan,nan,nan
70093,04D2154565,Physician Office,Microscopy,Advanced Dermatology & Skin Cancer Center,"1324 North Hwy 62/65 Sierra Center, Suite C2",Harrison,AR,72601,(479) 718-7546,nan,nan,nan,nan,nan,nan,nan
70094,04D2154901,Physician Office,Microscopy,Chi St Vincent Urogynecology Clinic,5 St Vincent Circle Ste 300,Little Rock,AR,72205,(501) 552-8800,nan,nan,nan,nan,nan,nan,nan
70096,04D2157387,Physician Office,Registration,St Bernard's First Care Highland,1995 Hwy 62/412,Hardy,AR,72542,(870) 856-5620,nan,nan,nan,nan,nan,nan,nan
70098,04D2159489,Physician Office,Compliance,Mana Medical Associates,"3344 N Futrall Drive, Ste B",Fayetteville,AR,72703,(201) 255-1400,nan,nan,nan,nan,nan,nan,nan
70099,04D2159881,Physician Office,Microscopy,Washington Reg Med Center Student Based Health Cnt,201 E School Street,Lincoln,AR,72744,(479) 824-3196,nan,nan,nan,nan,nan,nan,nan
70100,04D2160560,Physician Office,Compliance,"Harmony Park Family Medicine, Pllc","128 Harmony Park Circle, Unit C",Hot Springs,AR,71913,(501) 255-0410,nan,nan,nan,nan,nan,nan,nan
70101,04D2161175,Physician Office,Registration,Unity Health Harris Medical Clinic,1200 Mclain St,Newport,AR,72112,(870) 523-0190,nan,nan,nan,nan,nan,nan,nan
70102,04D2165967,Physician Office,Registration,"Mitchell Family Medicine, LLC",924 State Hwy 77,Marion,AR,72364,(870) 739-8670,nan,nan,nan,nan,nan,nan,nan
70103,04D2166077,Physician Office,Registration,Hull Dermatology,419 Town Center E,Bella Vista,AR,72714,(479) 254-9662,nan,nan,nan,nan,nan,nan,nan
70104,04D2167461,Hospital,Registration,Cabot Emergency Hospital,212 Willie Ray Drive,Cabot,AR,72023,(501) 333-9110,nan,nan,nan,nan,nan,nan,nan
70105,04D2168243,Physician Office,Registration,Ammc Medical Office Building Laboratory,1110 West Kingshighway,Paragould,AR,72450,(870) 205-2076,nan,nan,nan,nan,nan,nan,nan
70106,04D2168657,Physician Office,Registration,Central Arkansas Radiation Therapy Institute,209 South Portland,Russellville,AR,72801,(501) 906-4466,nan,nan,nan,nan,nan,nan,nan
70107,04D2168867,Physician Office,Registration,Family Health Assoc Of South East Ark-White Hall,1600 West Holland,White Hall,AR,71602,(870) 850-8080,nan,nan,nan,nan,nan,nan,nan
70108,04D2169623,Physician Office,Microscopy,Northwest Family Medicine & Obstetrics,5501 Willow Creek Drive Ste 104,Springdale,AR,72762,(479) 757-2730,nan,nan,nan,nan,nan,nan,nan
70109,04D2169626,Physician Office,Microscopy,Northwest Women's Specialty Group,2900 Medical Center Parkway Ste 240 A,Bentonville,AR,72712,(479) 553-3340,nan,nan,nan,nan,nan,nan,nan
70110,04D2170189,Hospital,Registration,Mercy Springdale Hod,4600 Mercy Lane,Springdale,AR,72762,(479) 338-2845,nan,nan,nan,nan,nan,nan,nan
70111,04D2171149,Physician Office,Microscopy,Helena Womens Clinic,1803 Martin Luther Dr Suite D,Helena,AR,72342,(870) 816-3800,nan,nan,nan,nan,nan,nan,nan
70112,04D2172341,Physician Office,Microscopy,Arkansas Perinatal Services Pa,"9501 Lile Dr Medical Towers Ii, Suite 810",Little Rock,AR,72205,(501) 217-8467,nan,nan,nan,nan,nan,nan,nan
