,ID,Type,License,Name,Address,City,State,Something,Phone,_merge
46,24D0398084,Hospital,Accreditation,M Health Fairview Lakes Acute Care Laboratory,5200 Fairview Blvd,Wyoming,MN,55092,(651) 982-7220,right_only
47,26D0652268,Hospital,Compliance,Northwest Medical Center,705 N College St,Albany,MO,64402,(660) 726-1156,right_only
48,26D0445317,Hospital,Compliance,Ellett Memorial Hospital,"610 N Ohio Ave, Ne Hall",Appleton City,MO,64724,(660) 476-2111,right_only
49,26D0445938,Hospital,Accreditation,Lake Regional Health System Laboratory,54 Hospital Drive,Osage Beach,MO,65065-9696,(573) 348-8000,right_only
50,05D0707622,Physician Office,Microscopy,Centers For Family Medicine,2562 State Street Suite D,Carlsbad,CA,92008-1663,(949) 923-3272,right_only
51,05D0991773,Physician Office,Microscopy,La Costa Urgent Care/Gregory L Wakeman,6971 El Camino Real Ste 101,Carlsbad,CA,92009,(760) 603-3221,right_only
52,05D1019007,Physician Office,Microscopy,Carlsbad Village Family Practice,2801 Jefferson St,Carlsbad,CA,92008,(760) 729-4952,right_only
53,05D1105031,Physician Office,Compliance,Coastal Pain & Spinal Diagnostics Medical,6221 Metropolitan St Ste 201,Carlsbad,CA,92009-3096,(760) 753-7127,right_only
54,05D2137456,Physician Office,Compliance,Fertlity Specialists Medical Group,"6125 Paseo Del Norte, Ste 120",Carlsbad,CA,92011,(442) 262-3186,right_only
55,05D2151482,Physician Office,Compliance,Gameday Men's Health,2753 Jefferson St Ste 204,Carlsbad,CA,92008,(858) 252-9202,right_only
56,05D2169099,Physician Office,Microscopy,One Medical With Ucsdh,"7740 El Camino Real, Suite F",Carlsbad,CA,92009,(760) 383-2352,right_only
57,05D2000108,Physician Office,Microscopy,Montage Medical Group,275 The Crossroads Ste A,Carmel,CA,93923-8685,(831) 781-9701,right_only
58,05D2025892,Physician Office,Compliance,Coastal Valley Dermatology Associates Inc,26366 Carmel Rancho Ln Ste H,Carmel,CA,93923-8721,(831) 293-8458,right_only
59,05D0613409,Physician Office,Microscopy,Ritchie Wong MD,3650 Mission Avenue,Carmichael,CA,95608,(916) 972-0882,right_only
60,05D0613463,Physician Office,Compliance,Sierra Hematology & Oncology,6555 Coyle Ave Ste 301,Carmichael,CA,95608-0303,(916) 962-1544,right_only
61,05D0613485,Physician Office,Microscopy,Kamras & Polansky Medical Corporation,5821 Jameson Court,Carmichael,CA,95608,(916) 486-0411,right_only
62,05D0613494,Physician Office,Microscopy,Med 7 Urgent Care Center,4156 Manzanita Ave 100,Carmichael,CA,95608-1726,(916) 483-5400,right_only
63,05D0678191,Physician Office,Microscopy,Med Center Medical Clinic,6651 Madison Ave,Carmichael,CA,95608-0602,(916) 965-1111,right_only
64,05D0689630,Physician Office,Compliance,C Stephen Goetz MD Inc,6401 Coyle Ave Ste 315,Carmichael,CA,95608-0310,(916) 966-6444,right_only
65,05D0867786,Physician Office,Microscopy,Lou Nishimura MD,"6500 Coyle Avenue, Suite #4",Carmichael,CA,95608,(916) 967-4030,right_only
66,05D2058046,Physician Office,Microscopy,Raquel Livoni MD Mph,6500 Coyle Ave Ste 5,Carmichael,CA,95608-0301,(916) 853-1155,right_only
67,05D2073418,Physician Office,Microscopy,Dignity Health Medical Foundation,6620 Coyle Ave Ste 301,Carmichael,CA,95608,(916) 961-2514,right_only
68,05D2098126,Physician Office,Microscopy,Dignity Health Medical Foundation,6620 Coyle Ave Ste 218,Carmichael,CA,95608,(916) 536-2466,right_only
69,05D0553810,Physician Office,Microscopy,Health Care Partners Affiliates Medical Group,824 E Carson St Ste 104,Carson,CA,90746-2262,(562) 988-7027,right_only
70,05D0919849,Physician Office,Microscopy,"Aronson & Rosenthal, MD, Inc","824 E Carson Street, #102",Carson,CA,90745,(310) 233-3216,right_only
71,05D0923327,Physician Office,Microscopy,Healthcare Partners Affiliates Medical Group,168 West Carson Street,Carson,CA,90745,(562) 988-7027,right_only
72,05D2083204,Physician Office,Microscopy,Torrance Memorial Physician Network,824 E Carson St Ste 203,Carson,CA,90745,(310) 517-4637,right_only
73,05D0599219,Physician Office,Accreditation,University Medical Group,20055 Lake Chabot Rd #130,Castro Valley,CA,94546,(510) 888-0657,right_only
74,05D0664089,Physician Office,Microscopy,Steven R Una MD,20130 Lake Chabot Rd #307,Castro Valley,CA,94546,(510) 889-1673,right_only
75,05D0687025,Physician Office,Compliance,Csi Medical Group,"20400 Lake Chabot Rd, Ste 202",Castro Valley,CA,94546-5315,(510) 881-7822,right_only
76,05D0891652,Physician Office,Microscopy,Chabot Nephrology Medical Group,20055 Lake Chabot Road #230,Castro Valley,CA,94546-5333,(510) 881-1490,right_only
77,05D0996811,Physician Office,Microscopy,Sutter East Bay Medical Foundation,20101 Lake Chabot Rd,Castro Valley,CA,94546-5305,(510) 886-3400,right_only
78,05D1079934,Physician Office,Microscopy,University Healthcare Alliance,20126 Stanton Avenue Ste 201,Castro Valley,CA,94546-5270,(510) 581-2559,right_only
79,05D0705627,Physician Office,Compliance,El Centro Dermatology,1334 N Imperial Ave,El Centro,CA,92243-3319,(760) 337-8500,right_only
80,05D0707199,Physician Office,Microscopy,"Balboa Nephrology Medical Group, Inc",2205 W Ross Ave Ste 101,El Centro,CA,92243,(760) 353-0404,right_only
81,05D0956124,Physician Office,Compliance,California Heart And Vascular Clinic,790 W Orange Ave Ste B,El Centro,CA,92243-3274,(760) 353-3222,right_only
82,05D0991868,Physician Office,Microscopy,"Theodore Affue, MD Inc","2061 Ross Avenue, Suite #a",El Centro,CA,92243,(760) 353-8181,right_only
83,05D1001250,Physician Office,Compliance,Linda Mak MD Inc,1073 Ross Ave Ste A,El Centro,CA,92243-4371,(760) 353-0574,right_only
84,05D1023447,Physician Office,Microscopy,Marisel R Chibas MD,2302 Merrill Center Dr,El Centro,CA,92243,(760) 352-7756,right_only
85,05D2114540,Physician Office,Accreditation,"All Valley Urgent Care, Tyson Medical Inc",2026 N Imperial Ave Ste C,El Centro,CA,92243,(760) 592-4351,right_only
86,05D0609831,Physician Office,Microscopy,Kerry Evnin MD,3641 Mitchell Road Suite H,Ceres,CA,95307,(209) 531-0154,right_only
87,05D0926600,Physician Office,Microscopy,Sutter Gould Medical Foundation-Ceres Care Center,2516 E Whitmore Ave,Ceres,CA,95307-2645,(209) 988-3294,right_only
88,05D0695473,Physician Office,Microscopy,Cerritos Medical Center Inc,"11911 Artesia Blvd, Ste 101",Cerritos,CA,90701-4070,(562) 402-7622,right_only
89,05D0917377,Physician Office,Microscopy,First Medical Center,11841 South Street,Cerritos,CA,90703,(562) 809-8082,right_only
90,05D0918728,Physician Office,Microscopy,Gospe Medical Clinic,12506 South St,Cerritos,CA,90703,(562) 809-0142,right_only
91,05D2162702,Physician Office,Microscopy,Healthcare Partners Affiliates Medical Group-Cerri,13357 South Street,Cerritos,CA,90703,(562) 988-7027,right_only
92,05D0616998,Physician Office,Microscopy,Paul F Wassermann MD,1430 Esplanade Suite 5,Chico,CA,95926,(530) 891-0553,right_only
93,05D0617011,Physician Office,Microscopy,"Tadd L Selby, MD",1166 Esplanade Suite 3,Chico,CA,95926,(916) 893-0771,right_only
94,05D0617026,Physician Office,Microscopy,"Jacqueline Losi, MD",270 Cohasset Rd Ste 100,Chico,CA,95926-2210,(530) 895-1396,right_only
95,05D0617079,Physician Office,Microscopy,"Immediate Care Med Center, Inc",376 Vallombrosa Ave,Chico,CA,95926-3900,(530) 891-1676,right_only
96,05D0644223,Physician Office,Accreditation,Mangrove Medical Group,1040 Mangrove Ave,Chico,CA,95926-3558,(530) 345-0064,right_only
97,05D0681576,Physician Office,Microscopy,Mark D Fritzler,645 West East Avenue Suite 1,Chico,CA,95926,(530) 898-8405,right_only
98,05D0864558,Physician Office,Microscopy,Larry C Hsu MD L Gretchen Wooding MD,270 Cohasset Rd  Suite 120,Chico,CA,95926-2210,(916) 893-9244,right_only
99,05D0932368,Physician Office,Microscopy,Steven K Sterzer MD Inc,24 Hanover Lane #a,Chico,CA,95973,(916) 895-0428,right_only
100,05D0968076,Physician Office,Microscopy,Scott Mellum MD,101 West 2nd Avenue,Chico,CA,95926,(530) 894-5491,right_only
101,05D0977194,Physician Office,Microscopy,"Mission Ranch Primary Care, Inc","114 Mission Ranch Blvd, #10",Chico,CA,95926,(530) 894-0500,right_only
102,05D2023997,Physician Office,Compliance,North Valley Dermatology Ctr,"251 Cohasset Rd, Ste 260",Chico,CA,95926-2241,(530) 342-3686,right_only
103,05D2083218,Physician Office,Microscopy,Immediate Care Medical Center Inc,251 Cohasset Rd Ste 300,Chico,CA,95926,(530) 809-0674,right_only
104,05D2091442,Physician Office,Microscopy,Enloe Womens Services-Magnolia,1405 Magnolia Ste A,Chico,CA,95926,(530) 332-5422,right_only
105,05D2099682,Physician Office,Microscopy,Enloe Women's Services- Esplanade,1665 Esplanade,Chico,CA,95926-3312,(530) 332-7372,right_only
106,05D2113290,Physician Office,Microscopy,Randal Sloop MD Inc,2068 Talbert Dr Ste 150,Chico,CA,95928-7723,(530) 809-0009,right_only
107,05D2143937,Physician Office,Microscopy,Enloe Women's Services - 1423 Magnolia,1423 Magnolia Ave,Chico,CA,95926,(530) 332-7372,right_only
108,05D0863919,Physician Office,Microscopy,Pamela J Harford Do,5253 Riverside Drive,Chino,CA,91710,(909) 464-2845,right_only
109,05D0927395,Physician Office,Compliance,"Patricia A. Brotman, M.D. Inc., Lab",15944 Los Serranos Country Club Dr Ste 180,Chino Hills,CA,91709-3990,(909) 393-3393,right_only
110,05D1004021,Physician Office,Microscopy,Robert Lopez MD,12586 Central Ave,Chino,CA,91710,(909) 548-6820,right_only
111,05D1022695,Physician Office,Microscopy,Lisa Stockford Do,"5450 Jefferson Ave, Ste 1",Chino,CA,91710,(909) 219-9804,right_only
112,05D2019838,Physician Office,Compliance,Pacific Coast Dermatology,13768 Roswell Ave Ste 102,Chino,CA,91710-1401,(909) 364-1959,right_only
113,05D2165278,Physician Office,Microscopy,Cucamonga Valley Medical Group,5562 Philadelpia Street Suite 310,Chino,CA,91710,(909) 429-2864,right_only
114,05D0565859,Physician Office,Microscopy,Children's Med Group,280 E St,Chula Vista,CA,91910-2945,(619) 425-3951,right_only
115,05D0565924,Physician Office,Accreditation,San Diego Oncology Medical Clinic,750 Medical Center Ct Ste 9,Chula Vista,CA,91911,(619) 421-5569,right_only
116,05D0565938,Physician Office,Compliance,"South Bay Skin & Cancer Medical Group, Inc",256 Landis Ave Ste 300,Chula Vista,CA,91910-2650,(619) 426-1233,right_only
117,05D0565972,Physician Office,Accreditation,Kousay A Al-Kourainy MD,"480 Fourth Avenue, Suite #409",Chula Vista,CA,91910,(619) 425-2080,right_only
118,05D0566126,Physician Office,Microscopy,Charles E Bower MD Inc,"256 Landis Ave, #200",Chula Vista,CA,91910,(619) 427-0652,right_only
119,01D2869487,Physician Office,Compliance,Rich and Rondi lab,331 Parks Ave Suite B,Scottsboro,AL,35768,(256) 218-3022,right_only
120,01D#027938,Independent,Accreditation,Trump Holdings,315 West Hickory Street,Sylacauga,AL,35150,(256) 401-4160,right_only
121,01A2159731,Independent,Compliance,By some medison,117 N Chalkville Road,Trussville,AL,35173,(205) 848-2273,right_only
122,01S0301038,Independent,Compliance,University of Essex Medical Center,850 Peter Bryce Blvd,Tuscaloosa,AL,35401,(205) 348-1222,right_only
123,01W1060994,Independent,Compliance,University of Wyoming labs,300 Towncenter Blvd  Suite D,Tuscaloosa,AL,35406,(205) 752-2367,right_only
124,01E2000676,Independent,Compliance,Bob and Mary LTD,1406 Mcfarland Blvd  Suite 1-A,Tuscaloosa,AL,35406,(205) 759-4507,right_only
125,01Q2125016,Independent,Compliance,Laboratory Corporation Of America Holdings,1022 North 1st Street  Suite 500,Alabaster,AL,35007,(205) 621-8490,right_only
126,23D0374212,Physician Office,Microscopy,Women's Ob-Gyn Pc,5400 Mackinaw Road Suite 6100,Saginaw,MI,48604,(989) 792-3100,right_only
127,23D0374277,Physician Office,Microscopy,Cmu Medical Education Partners,5421 N  Colony Drive,Saginaw,MI,48638-7128,(989) 746-7500,right_only
128,23D0374288,Physician Office,Microscopy,Silverwood Family Medicine,3037 Silverwood Drive,Saginaw,MI,48603-3263,(989) 792-1895,right_only
129,23D0666082,Physician Office,Accreditation,"Andrology Laboratory (Ivf Michigan, Pc)",5400 Mackinaw  Suite 2400,Saginaw,MI,48604,(989) 792-8771,right_only
130,23D0681626,Physician Office,Microscopy,Cmu Medical Education Partners,1000 Houghton Avenue,Saginaw,MI,48602-5303,(989) 583-6800,right_only
131,23D0691918,Physician Office,Microscopy,Valley Urgent Care Pc,3020 Boardwalk,Saginaw,MI,48603-2324,(517) 791-3888,right_only
132,23D0692079,Physician Office,Microscopy,E George Galsterer Do,1236 N Michigan,Saginaw,MI,48602-4728,(517) 753-7739,right_only
133,23D0891054,Physician Office,Accreditation,Saginaw Valley Dermatology Pc,4705 Towne Centre Road Suite 301,Saginaw,MI,48604-2821,(989) 793-6505,right_only
134,23D0904458,Physician Office,Microscopy,Internal Medicine,"4705 Towne Centre, Suite 102",Saginaw,MI,48604,(517) 797-3145,right_only
135,23D0904463,Physician Office,Microscopy,Deborah L Russell MD Pllc,4177 Fashion Square Blvd Suite 1,Saginaw,MI,48603,(989) 791-9100,right_only
136,23D0912577,Physician Office,Microscopy,Valley Ob-Gyn Clinic Pc,926 N Michigan Avenue,Saginaw,MI,48602,(989) 753-8453,right_only
137,23D0913902,Physician Office,Microscopy,Cmu Medical Education Partners,1575 Concentric Blvd,Saginaw,MI,48604,(989) 583-6800,right_only
138,23D0916004,Physician Office,Microscopy,Beverly Jarema Do,5481 North Colony Drive,Saginaw,MI,48638,(517) 249-6779,right_only
139,23D0934663,Physician Office,Compliance,Children's Medical Group Of Saginaw Bay,3875 Bay Road Suite 1 S,Saginaw,MI,48603,(989) 793-9982,right_only
140,23D0949204,Physician Office,Microscopy,Tri-City Urology Pc,1117 S Washington,Saginaw,MI,48601,(989) 791-4020,right_only
141,23D0976207,Physician Office,Accreditation,Oncology Hematology Associates Of,5400 Mackinaw Road Suite 4200,Saginaw,MI,48604,(989) 791-2330,right_only
142,23D0987558,Physician Office,Microscopy,"Doris Cataquiz, MD","8680 Gratiot Road, Suite A",Saginaw,MI,48609,(989) 781-2520,right_only
143,23D0991024,Physician Office,Microscopy,Covenant- Phoenix Family Medicine,2429 Trautner Drive,Saginaw,MI,48604,(989) 790-3697,right_only
144,23D1014279,Physician Office,Microscopy,"Andrew M Lafleur, MD, Plc",3400 N Center Road Suite 100,Saginaw,MI,48603,(989) 792-1494,right_only
145,23D1024829,Physician Office,Microscopy,Great Lakes Family Health Center Pc,3424 Davenport Avenue,Saginaw,MI,48602,(989) 790-0100,right_only
146,23D2144363,Physician Office,Microscopy,Jill Pavelio MD Plc,5481 N Colony Drive,Saginaw,MI,48638,(989) 249-6779,right_only
147,23D21Z2472,Physician Office,Registration,Saginaw Valley Medical Center,3170 Halmark Court,Saginaw,MI,48603,(810) 523-8222,right_only
148,23D03X8508,Physician Office,Microscopy,Y A Singh MD,400 W Russell Street Suite 105,Saline,MI,48176-1183,(316) 429-7000,right_only
149,23D0682856,Physician Office,Microscopy,John G Ghuneim MD Pc,1235 Industrial Drive Suite 6,Saline,MI,48176,(734) 429-2581,right_only
150,23D0558293,Physician Office,Microscopy,Terry D Howell MD,401 N Ann Arbor St,Saline,MI,48176-1160,(734) 944-0322,right_only
151,23D0942689,Physician Office,Microscopy,Mckenzie Family Healthcare,109 Delaware Street,Sandusky,MI,48471,(810) 648-0080,right_only
152,23A1038209,Physician Office,Microscopy,Third Coast Family Practice,821 W Us 10,Scottville,MI,49454,(231) 757-2500,right_only
153,23X0878622,Physician Office,Microscopy,Sebewaing Primary Care,616 Unionville Road,Sebewaing,MI,48759,(989) 883-9088,right_only
154,23Y0868879,Physician Office,Microscopy,Shelbydale Medical Clinic Pc,49221 Van Dyke Road,Shelby Township,MI,48317-1336,(586) 254-4860,right_only
155,23Z0878888,Physician Office,Microscopy,Henry Ford Macomb Obstetrics And Gynecology,51221 Schoenherr Suite 201,Shelby Township,MI,48315,(810) 254-3545,right_only
156,23D8004167,Physician Office,Microscopy,St Clair Specialty Physicians,45650 Schoenherr,Shelby Township,MI,48315,(586) 247-7800,right_only
157,23D1928878,Physician Office,Compliance,Academic Dermatology & Cosmetic Surgery Center,51189 Shelby Pkwy,Shelby Township,MI,48315,(586) 997-9700,right_only
158,23D1074340,Physician Office,Compliance,Pediatric Consultants Of Troy,50720 Schoenherr Road,Shelby Township,MI,48315,(586) 566-2340,right_only
159,2332377429,Physician Office,Compliance,Dermatology Specialists Of Shelby,"50505 Schoenherr Road, Ste 325",Shelby Township,MI,48315,(586) 580-1001,right_only
